sub_sent,class,domain,intent
사이즈는 어떻게 다르나요,DIGITAL_P사이즈문의,DIGITAL,P
배송이 지연되는데,DIGITAL_P배송문의,DIGITAL,P
임금 확인 부탁,DIGITAL_P환불문의,DIGITAL,P
사양 어떤가,DIGITAL_P사양문의,DIGITAL,P
해당하는 계좌 번호가 아니래,DIGITAL_P결제문의,DIGITAL,P
반품 가능,MART_P반품문의,MART,P
반품이 안되고있습니다,DIGITAL_P반품문의,DIGITAL,P
내가필요한거,DIGITAL_P추천,DIGITAL,P
딴거보고싶으요,DIGITAL_P새상담,DIGITAL,P
유효기간 좀 알려,MART_P유통기한문의,MART,P
싼거,MART_P행사상품,MART,P
사업자번호,DIGITAL_P기타faq문의,DIGITAL,P
반품 어떻게,MART_P반품문의,MART,P
너무 비싼데 저렴헌 것은,MART_P행사상품,MART,P
쿠폰 사용이 되지 않아,DIGITAL_P쿠폰적용문의,DIGITAL,P
사용 방법이 뭔가요,DIGITAL_P도움말보기,DIGITAL,P
담당자 연결해,DIGITAL_P상담원연결,DIGITAL,P
상품이 파손되어 왔는데요,DIGITAL_P교환문의,DIGITAL,P
주가,DIGITAL_P채팅,DIGITAL,P
$검색이 안되여$,DIGITAL_P기타faq문의,DIGITAL,P
취소 관련 문의,DIGITAL_P주문취소,DIGITAL,P
내 등급읗 알려줘,DIGITAL_P회원정보문의,DIGITAL,P
생산일자 알려,MART_P제조일자문의,MART,P
고객센터 문의되는건가요,DIGITAL_P고객센터문의,DIGITAL,P
이방 어떻게 나가니,DIGITAL_P대화종료,DIGITAL,P
쿠폰 사용방법,DIGITAL_P쿠폰적용문의,DIGITAL,P
구매목록 확인할수 있나요,DIGITAL_P주문이력확인,DIGITAL,P
마트챗봇 행사상품,MART_P할인행사,MART,P
이메일 안오게 할수있나요,DIGITAL_P기타faq문의,DIGITAL,P
$상품 상태$,DIGITAL_P기타faq문의,DIGITAL,P
$취소부탁드려요$,DIGITAL_P주문취소,DIGITAL,P
언제쯤 환불이 되서,DIGITAL_P환불문의,DIGITAL,P
주문이 안됩니다,DIGITAL_P기타faq문의,DIGITAL,P
판매순위문의,DIGITAL_P판매순위문의_RECOMpopular,DIGITAL,P
통화가 안되네여,DIGITAL_P전화요청,DIGITAL,P
교환중인상품,DIGITAL_P교환문의,DIGITAL,P
싼 브랜드,MART_P행사상품,MART,P
$설명서$,DIGITAL_P도움말보기,DIGITAL,P
쿠폰왜안줘,DIGITAL_P쿠폰요청,DIGITAL,P
캐시로 등록된 돈은 못 쓰나요,DIGITAL_P기타faq문의,DIGITAL,P
본인인증하라고,DIGITAL_P본인인증문의,DIGITAL,P
"온,오프라인모델차이 ",DIGITAL_P제품별차이점 ,DIGITAL,P
통화가 가능한가요,DIGITAL_P전화요청,DIGITAL,P
뭘 찾는게 좋을까,DIGITAL_P추천,DIGITAL,P
정보 있으신가요,DIGITAL_P상담요청,DIGITAL,P
상품을 받을 수 있는지,MART_P배송문의,MART,P
문자 보내줘,DIGITAL_P채팅,DIGITAL,P
저 이제 갈께요,DIGITAL_P대화종료,DIGITAL,P
추천해준 이유가 무엇,DIGITAL_P추천기준,DIGITAL,P
쿠폰 다운받았는데 전제품 해당,DIGITAL_P쿠폰적용문의,DIGITAL,P
카드 할인이 있나요,DIGITAL_P결제문의,DIGITAL,P
취소할 수 있나요,DIGITAL_P주문취소,DIGITAL,P
선물주라,DIGITAL_P행사문의,DIGITAL,P
쿠폰이 안오네요,DIGITAL_P기타faq문의,DIGITAL,P
가격이 너무 높은건 부담스러워요,MART_P행사상품,MART,P
주문하면 내일오나요,DIGITAL_P배송일문의,DIGITAL,P
수리해야 될 것 같아요,DIGITAL_Pa/s문의,DIGITAL,P
내가 잘 사는거,MART_P자주구매상품,MART,P
이름 잘못되었는데 어디서 바꿔요,DIGITAL_P기타faq문의,DIGITAL,P
교환할때 돈이들어요,DIGITAL_P교환문의,DIGITAL,P
딜은 어떻게 사용하나요,DIGITAL_P할인문의,DIGITAL,P
주문취소 확인 전화,DIGITAL_P주문취소,DIGITAL,P
이벤트 어떻게 하,MART_P이벤트,MART,P
지금 상담할 수 있나요,DIGITAL_P상담시간,DIGITAL,P
취소확인은 어떻게 하나요,DIGITAL_P주문취소,DIGITAL,P
목요일까지 받아야,DIGITAL_P배송일문의,DIGITAL,P
배송지에 사람이 없는데,DIGITAL_P배송문의,DIGITAL,P
자꾸 에러가나요,DIGITAL_P기타faq문의,DIGITAL,P
물품 샀는데,DIGITAL_P구매완료,DIGITAL,P
적용 가능 쿠폰 알려주,DIGITAL_P쿠폰적용문의,DIGITAL,P
왜 이렇게 비싸요,DIGITAL_P가격차이,DIGITAL,P
찜이 뭐야,DIGITAL_P찜기능안내,DIGITAL,P
다른 상담도 가능한가요,DIGITAL_P상담품목,DIGITAL,P
쿠폰이 있는데 왜 사용이 안,DIGITAL_P쿠폰적용문의,DIGITAL,P
쿠폰 어디서 적용하지,DIGITAL_P쿠폰적용문의,DIGITAL,P
데이터충전,DIGITAL_P기타faq문의,DIGITAL,P
$판매자 에게$,DIGITAL_P판매자연락요청,DIGITAL,P
해지 방법,DIGITAL_P기타faq문의,DIGITAL,P
사진업로드,DIGITAL_P사진올리기기능안내,DIGITAL,P
$이름좀 변경 할려고요,DIGITAL_P기타faq문의,DIGITAL,P
톡매니저 운영시간,DIGITAL_P상담시간,DIGITAL,P
물건 배송 안헤주,DIGITAL_P배송문의,DIGITAL,P
밥은 먹고 다니냐,DIGITAL_P채팅,DIGITAL,P
다른 상품이 배송되었어요,DIGITAL_P배송문의,DIGITAL,P
서비스가 보이지 않아요,DIGITAL_P기타faq문의,DIGITAL,P
오케이 캐쉬백 때문에 문의 상담,DIGITAL_Pok캐시백문의_P기타faq문의,DIGITAL,P
상담내역,DIGITAL_P기타faq문의,DIGITAL,P
상담 불가능,DIGITAL_P상담요청,DIGITAL,P
차이점도 자세히 알려주세요,DIGITAL_P차이점,DIGITAL,P
궁금해서 그냥,DIGITAL_P상담요청,DIGITAL,P
지금 결제할,MART_P구매,MART,P
캐쉬사용법,DIGITAL_P기타faq문의,DIGITAL,P
너 남자니,DIGITAL_P채팅,DIGITAL,P
딴 상품 보고 싶어,DIGITAL_P추가추천,DIGITAL,P
$사진 기능$,DIGITAL_P사진올리기기능안내,DIGITAL,P
아니 상담좀요,DIGITAL_P상담요청,DIGITAL,P
상담 가능 품목,DIGITAL_P상담품목,DIGITAL,P
나의 쇼핑 리스트는 어떤 건가요,MART_P쇼핑리스트,MART,P
문의 사항 있으면 말씀드릴게요,DIGITAL_P대화종료,DIGITAL,P
택배예정일,DIGITAL_P배송일문의,DIGITAL,P
$상담톡$,DIGITAL_P상담원연결,DIGITAL,P
등록 어떻게해요,DIGITAL_P기타faq문의,DIGITAL,P
비싼거아닌가요,DIGITAL_P가격문의,DIGITAL,P
vvip 조건이 어떻게,DIGITAL_P기타faq문의,DIGITAL,P
배송 오늘 하면 언제 오나,DIGITAL_P배송일문의,DIGITAL,P
최근배송지 삭제어떻게하나요?,DIGITAL_P기타faq문의,DIGITAL,P
품절 입고되나요,MART_P재입고문의,MART,P
주문한 상품은 언제 배송,DIGITAL_P배송일문의,DIGITAL,P
소형인가요,DIGITAL_P사이즈문의,DIGITAL,P
실례했습니다. 나중에 다시 문의,DIGITAL_P대화종료,DIGITAL,P
구매하기를 누르면,DIGITAL_P구매예정,DIGITAL,P
아무것도적용이안되요,DIGITAL_P쿠폰적용문의,DIGITAL,P
다시 문의 드릴,DIGITAL_P대화종료,DIGITAL,P
전자기기만 상담,DIGITAL_P상담품목,DIGITAL,P
입금 안됨,DIGITAL_P환불문의,DIGITAL,P
뭘 사면 좋을지 모르겠어,DIGITAL_P추천,DIGITAL,P
환불처리갸 어떻게,DIGITAL_P환불문의,DIGITAL,P
관리자 통화요청,DIGITAL_P전화요청,DIGITAL,P
상담하는곳아닌가요,DIGITAL_P상담품목,DIGITAL,P
난 거지다,DIGITAL_P채팅,DIGITAL,P
난중에 다시하라구요,DIGITAL_P대화종료,DIGITAL,P
반납관련 알아보시,DIGITAL_P반품문의,DIGITAL,P
생산지가 어떻게 되나요,MART_P원산지문의,MART,P
할인 쿠폰 문의,DIGITAL_P쿠폰요청,DIGITAL,P
할인행사 알려,MART_P행사상품문의,MART,P
무슨 기능인가요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
너 살아 있냐고,DIGITAL_P채팅,DIGITAL,P
사람이니,DIGITAL_P챗봇여부문의,DIGITAL,P
환불예정이라는 문자를 받았는데,DIGITAL_P환불문의,DIGITAL,P
상담 가능한게 뭐야,DIGITAL_P상담품목,DIGITAL,P
당일 발송 인가요,DIGITAL_P배송문의,DIGITAL,P
새벽이라 상담사,DIGITAL_P상담시간,DIGITAL,P
쿠폰을 주문취소하면 다시 사용,DIGITAL_P쿠폰적용문의,DIGITAL,P
증정품도 함께 부탁 드립니다,MART_P사은품문의,MART,P
사람이세요,DIGITAL_P챗봇여부문의,DIGITAL,P
주문하신건도착시간확인,DIGITAL_P배송문의,DIGITAL,P
$센터번호$,DIGITAL_P고객센터문의,DIGITAL,P
내가 구매한 상품,DIGITAL_P주문이력확인,DIGITAL,P
결재 하려고 하니 쿠폰이 없다,DIGITAL_P쿠폰적용문의,DIGITAL,P
t나는 쇼핑포인트,DIGITAL_P기타faq문의,DIGITAL,P
너가뿌뿡이,DIGITAL_P채팅,DIGITAL,P
일본어지원 되나요,DIGITAL_P언어지원문의,DIGITAL,P
돈내노,DIGITAL_P채팅,DIGITAL,P
$도움말$,DIGITAL_P도움말보기,DIGITAL,P
대화를 해서 즐거웠어요,DIGITAL_P대화종료,DIGITAL,P
이슈결재창 주세요,DIGITAL_P기타faq문의,DIGITAL,P
트위터로 공유하고 싶어요,DIGITAL_P기타faq문의,DIGITAL,P
최근주문상품,DIGITAL_P주문이력확인,DIGITAL,P
내일 바로 배송오는 상품,MART_P배송문의,MART,P
다음에 주문할께,DIGITAL_P주문예정,DIGITAL,P
너 안좋아해,DIGITAL_P채팅,DIGITAL,P
상담이요,DIGITAL_P상담요청,DIGITAL,P
내가 주문한,MART_P지난구매상품보기,MART,P
반납할 제품을 아직 안가져,DIGITAL_P반품문의_CATEN대여,DIGITAL,P
배송지설정,DIGITAL_P배송지변경문의,DIGITAL,P
어디서 찾아야 하나오,DIGITAL_P상담원연결,DIGITAL,P
개이득 상품,MART_P행사상품문의,MART,P
카뱅,DIGITAL_P결제문의,DIGITAL,P
파나요,DIGITAL_P추천,DIGITAL,P
승인취소,DIGITAL_P결제문의,DIGITAL,P
입금금액,DIGITAL_P결제문의,DIGITAL,P
취소 했는데 돈이 안들어오네요,DIGITAL_P환불문의,DIGITAL,P
최소사양은 어떻게,DIGITAL_P사양문의,DIGITAL,P
제품생산년도,MART_P제조일자문의,MART,P
지문인식 설정은 어디서,DIGITAL_P기타faq문의,DIGITAL,P
많이 비싸지 않았으면,MART_P행사상품,MART,P
$로봇이에요$,DIGITAL_P챗봇여부문의,DIGITAL,P
기존에 샀던 상품,MART_P지난구매상품보기,MART,P
다중 검색이 뭐예요,MART_P다중검색문의,MART,P
저렴한거부,MART_P행사상품,MART,P
뭐가 싸니,DIGITAL_P추천,DIGITAL,P
여부야,DIGITAL_P채팅,DIGITAL,P
카드입력하는곳,DIGITAL_P결제문의,DIGITAL,P
취소후 쿠폰반납,DIGITAL_P쿠폰적용문의,DIGITAL,P
11번가 앱알리미,DIGITAL_P기타faq문의,DIGITAL,P
딴주소로 보낼려고 하는데,DIGITAL_P배송지변경문의,DIGITAL,P
$다시 상담$,DIGITAL_P새상담,DIGITAL,P
이용해지,DIGITAL_P기타faq문의,DIGITAL,P
멤버십카드인증,DIGITAL_P티멤버십관련문의_P기타faq문의,DIGITAL,P
널 구속할거야,DIGITAL_P채팅,DIGITAL,P
쿠폰 발급 가능,DIGITAL_P쿠폰요청,DIGITAL,P
거래내역 증빙서류,DIGITAL_P기타faq문의,DIGITAL,P
다른분 성함으로 입금해도되나요,DIGITAL_P결제문의,DIGITAL,P
모델명이 다른 이유가,DIGITAL_P제품별차이점,DIGITAL,P
남자니 여자니,DIGITAL_P채팅,DIGITAL,P
연장가능한지요,DIGITAL_P기타faq문의,DIGITAL,P
폐가전 회수 ,DIGITAL_P폐가전수거 ,DIGITAL,P
저의등급,DIGITAL_P회원정보문의,DIGITAL,P
재발송 언제,DIGITAL_P배송문의,DIGITAL,P
연기대상,DIGITAL_P채팅,DIGITAL,P
점심약속 있어 나중에,DIGITAL_P대화종료,DIGITAL,P
샀었는데 이력이남았나요,DIGITAL_P기타faq문의,DIGITAL,P
방금 주문한 걸 취소,DIGITAL_P주문취소,DIGITAL,P
상담여기서 하면되요,DIGITAL_P상담요청,DIGITAL,P
영수증 발급,DIGITAL_P기타faq문의,DIGITAL,P
거래내역삭제,DIGITAL_P주문이력확인,DIGITAL,P
할인쿠폰이 사라졌어요,DIGITAL_P쿠폰요청,DIGITAL,P
하나만 왔어요,DIGITAL_P배송문의,DIGITAL,P
t멤버쉽 해택 상품,DIGITAL_P할인문의,DIGITAL,P
최근 제조된 상품으로 배송,MART_P새제품요청,MART,P
배송지나 받는 사람을 변경하려면,DIGITAL_P배송지변경문의,DIGITAL,P
환불하고 다른 제품 구매하고 싶,DIGITAL_P환불문의,DIGITAL,P
판매자는 어디서 알수잇나요,DIGITAL_P판매자연락요청,DIGITAL,P
$남자에요$,DIGITAL_P채팅,DIGITAL,P
언제자,DIGITAL_P채팅,DIGITAL,P
니가 이해할수있는 말은 뭐니,DIGITAL_P채팅,DIGITAL,P
살 수 있을 것 같아요,DIGITAL_P구매예정,DIGITAL,P
출석체크,DIGITAL_P기타faq문의,DIGITAL,P
$help$,DIGITAL_P도움말보기,DIGITAL,P
실시간으로 메시지를 직접,DIGITAL_P챗봇여부문의,DIGITAL,P
$몇시까지입니까$,DIGITAL_P상담시간,DIGITAL,P
잘못 결제로 취소,DIGITAL_P결제문의,DIGITAL,P
제가 반품을 시켰는데,DIGITAL_P반품문의,DIGITAL,P
skt 무제한 데이터,DIGITAL_P기타faq문의,DIGITAL,P
받았는데 기스가 있어서요,DIGITAL_P교환문의,DIGITAL,P
뭐가 좋아,DIGITAL_P추천,DIGITAL,P
전화를 주시면 감사합니다,DIGITAL_P전화요청,DIGITAL,P
할인되는 쿠폰은,DIGITAL_P쿠폰요청,DIGITAL,P
$다시 받기도 안되구요$,DIGITAL_P쿠폰요청,DIGITAL,P
현금영수증은 어떻게 신청,DIGITAL_P현금영수증문의,DIGITAL,P
사람이에여 로봇이에여,DIGITAL_P챗봇여부문의,DIGITAL,P
쿠폰인증번호가 뭔가요,DIGITAL_P쿠폰인증번호문의,DIGITAL,P
모가 달라요,DIGITAL_P차이점,DIGITAL,P
입금 문의,DIGITAL_P환불문의,DIGITAL,P
$알아봐주세요$,DIGITAL_P추천,DIGITAL,P
오토 아니고 진짜 상담사세요,DIGITAL_P챗봇여부문의,DIGITAL,P
배송지를 각각 지정할 수 있나요,DIGITAL_P배송지변경문의,DIGITAL,P
언어 변경,DIGITAL_P기타faq문의,DIGITAL,P
증정품 누락,MART_P사은품문의,MART,P
상품 업데이트 없나,DIGITAL_P기타faq문의,DIGITAL,P
박스당 몇키로,DIGITAL_P상품문의,DIGITAL,P
택배는 언제 오나요,DIGITAL_P배송일문의,DIGITAL,P
프로모션 문의,MART_P이벤트 ,MART,P
말을해,DIGITAL_P채팅,DIGITAL,P
//쿠폰,DIGITAL_P쿠폰,DIGITAL,P
생산일자 가장 최근 확인,MART_P제조일자문의,MART,P
$어떤 기준이야$,DIGITAL_P기타faq문의,DIGITAL,P
상담 느그랑 하나여,DIGITAL_P상담원연결,DIGITAL,P
전화 잘 안받는데 어떻하죠,DIGITAL_P전화요청,DIGITAL,P
상담사 연락처 주세요,DIGITAL_P상담원연결,DIGITAL,P
주소가안돼요,DIGITAL_P기타faq문의,DIGITAL,P
적립금 사용방법,DIGITAL_P기타faq문의,DIGITAL,P
챗봇이가골라줘,DIGITAL_P추천,DIGITAL,P
도착하는 날짜가 너무 느린데,MART_P배송문의,MART,P
나의쇼핑리스트,DIGITAL_P기타faq문의,DIGITAL,P
반송한물품은언제,DIGITAL_P반품문의,DIGITAL,P
$비교해줘$,DIGITAL_P상품비교_P상담원연결,DIGITAL,P
비싼가요,DIGITAL_P가격문의,DIGITAL,P
입금이 안된걸로 나오네요,DIGITAL_P결제문의,DIGITAL,P
주소 어떻게 바꾸,DIGITAL_P배송지변경문의,DIGITAL,P
어제 주문한 상품 두개 더 주문,MART_P지난구매상품보기,MART,P
설명 좀,"FAQ_P도움말요청,DIGITAL_P설명요청",FAQ,P
배송보상지연,DIGITAL_P적립문의,DIGITAL,P
연락주시기로  했는데,DIGITAL_P전화요청,DIGITAL,P
입금 좀 빨리해주세요,DIGITAL_P환불문의,DIGITAL,P
앱이 제대로 동작하지 않아서,DIGITAL_P기타faq문의,DIGITAL,P
$여기엔 없으$,DIGITAL_P추가추천,DIGITAL,P
상품으로 알려주세요,DIGITAL_P추천,DIGITAL,P
오케이케쉬백적립,DIGITAL_P적립문의,DIGITAL,P
통화연결이 너무힘드네요,DIGITAL_P전화요청,DIGITAL,P
푸쉬기능 정지 요청,DIGITAL_P기타faq문의,DIGITAL,P
가입 대상은 어떻게 되나요,DIGITAL_P기타faq문의,DIGITAL,P
넌 뭘 잘하니,DIGITAL_P상담품목,DIGITAL,P
계속 안오구 있어요,DIGITAL_P배송문의,DIGITAL,P
얘기하면 안될까,DIGITAL_P채팅,DIGITAL,P
전체 취소 다 된거맞죠,DIGITAL_P주문취소,DIGITAL,P
챗봇 서비스는 어디서 이용,DIGITAL_P기타faq문의,DIGITAL,P
환불계좌를 변경하고 싶어요,DIGITAL_P환불문의,DIGITAL,P
차이 무엇인가요,DIGITAL_P차이점,DIGITAL,P
마일리지할인은 어디에 문의,DIGITAL_P할인문의,DIGITAL,P
최근 제조일 챙겨,MART_P새제품요청,MART,P
$1+1상품$,MART_P할인행사,MART,P
무배가 안되네요,DIGITAL_P배송비문의,DIGITAL,P
가격대요,DIGITAL_P가격문의,DIGITAL,P
단골가게 선택,DIGITAL_P기타faq문의,DIGITAL,P
장바구니에 넣어줘,MART_P장바구니담기,MART,P
$톡니저$,DIGITAL_P상담원연결,DIGITAL,P
택배회사,DIGITAL_P배송문의,DIGITAL,P
알아봐줘,DIGITAL_P추천,DIGITAL,P
쿠폰은 어떤 물건에 사용가,DIGITAL_P쿠폰적용문의,DIGITAL,P
경품주세요,DIGITAL_P채팅,DIGITAL,P
케쉬백 질문요,DIGITAL_P기타faq문의,DIGITAL,P
데이터로11번가를 이용할,DIGITAL_P기타faq문의,DIGITAL,P
디지털페어,DIGITAL_P할인행사,DIGITAL,P
사진 올리기,DIGITAL_P사진올리기기능안내,DIGITAL,P
vip 쿠폰,DIGITAL_P기타faq문의,DIGITAL,P
등급이 안올라가나요,DIGITAL_P기타faq문의,DIGITAL,P
앞으로 잘 부탁해요,DIGITAL_P대화종료,DIGITAL,P
주문한 상품과 배송상품이 달라요,DIGITAL_P배송문의,DIGITAL,P
가입할려고 하는데요,DIGITAL_P기타faq문의,DIGITAL,P
목요일 쿠폰,DIGITAL_P쿠폰요청,DIGITAL,P
포인트 사용하고 싶어요,DIGITAL_P결제문의,DIGITAL,P
채팅 가능,DIGITAL_P채팅,DIGITAL,P
$십일픽$,DIGITAL_P기타faq문의,DIGITAL,P
저번에 산 상품 주문,MART_P지난구매상품보기,MART,P
14세미만 가입,DIGITAL_P기타faq문의,DIGITAL,P
내일 뭐해,DIGITAL_P채팅,DIGITAL,P
창 어딧냐고,DIGITAL_P기타faq문의,DIGITAL,P
$운송비도$,DIGITAL_P배송비문의,DIGITAL,P
도로명주소로 입력이 안되는데,DIGITAL_P기타faq문의,DIGITAL,P
할인 쿠폰 좀,DIGITAL_P쿠폰요청,DIGITAL,P
가격 비교하여 구매하겠습니다,DIGITAL_P구매예정,DIGITAL,P
상담원 예약,DIGITAL_P기타faq문의,DIGITAL,P
안심번호 서비스란,DIGITAL_P기타faq문의,DIGITAL,P
설치비 없는 거,DIGITAL_P설치비문의,DIGITAL,P
반품하려고,DIGITAL_P반품문의,DIGITAL,P
빨리 알려줘,DIGITAL_P상담요청,DIGITAL,P
증빙서류는 어떻게 하나요,DIGITAL_P기타faq문의,DIGITAL,P
물건이 잘못 배송,DIGITAL_P배송문의,DIGITAL,P
최근 구매 리스트,MART_P지난구매상품보기,MART,P
쿠폰다운불가,DIGITAL_P기타faq문의,DIGITAL,P
쎄일,"DIGITAL_P할인문의,MART_P행사상품문의",DIGITAL,P
주소이전할려고여,DIGITAL_P회원정보문의,DIGITAL,P
$너저리가$,DIGITAL_P대화종료,DIGITAL,P
입금해야할 금액,DIGITAL_P결제문의,DIGITAL,P
다른 기능은요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
통화요청합니다,DIGITAL_P전화요청,DIGITAL,P
컬쳐캐쉬는 어떻게,DIGITAL_P기타faq문의,DIGITAL,P
$물건만 찾는군$,DIGITAL_P상담품목,DIGITAL,P
11번가 차단,DIGITAL_P기타faq문의,DIGITAL,P
이전메뉴이동,DIGITAL_P이전메뉴이동,DIGITAL,P
새로운 질문,DIGITAL_P새상담,DIGITAL,P
경비실에도 없어요,DIGITAL_P배송문의,DIGITAL,P
$담기$,MART_P장바구니담기,MART,P
Skt할인품목,DIGITAL_P행사문의,DIGITAL,P
화요일에 받을수 있나,DIGITAL_P배송문의,DIGITAL,P
id문제 있다고 합니다,DIGITAL_P회원정보문의,DIGITAL,P
너 우유 좋아해,DIGITAL_P채팅,DIGITAL,P
$설정$,DIGITAL_P기타faq문의,DIGITAL,P
제품누락,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
와이프 이상해,DIGITAL_P채팅,DIGITAL,P
$편의점배송$,DIGITAL_P배송문의,DIGITAL,P
전자제품만 상담 가능 합니까,DIGITAL_P상담품목,DIGITAL,P
$처음부터$,DIGITAL_P처음으로,DIGITAL,P
Yes24 쿠폰,DIGITAL_P쿠폰요청,DIGITAL,P
쿠폰을 보여줘,DIGITAL_P쿠폰요청,DIGITAL,P
$계속진행$,DIGITAL_P대화계속,DIGITAL,P
$아프냐$,DIGITAL_P채팅,DIGITAL,P
톡매니더 초대 클릭,DIGITAL_P상담원연결,DIGITAL,P
얼음팩 포장,MART_P아이스팩문의,MART,P
차이점이 무엇인가요,DIGITAL_P차이점,DIGITAL,P
$삼성카드$,DIGITAL_P결제문의,DIGITAL,P
쿠키 허용,DIGITAL_P기타faq문의,DIGITAL,P
검토해보겠습니다,DIGITAL_P대화종료,DIGITAL,P
발송주소가 잘 못 접수되어있습니다,DIGITAL_P배송지변경문의,DIGITAL,P
문의사항 답,DIGITAL_P기타faq문의,DIGITAL,P
무료해외배송 이벤트 언제,DIGITAL_P행사문의,DIGITAL,P
적용 가능 한 쿠폰,DIGITAL_P쿠폰적용문의,DIGITAL,P
자주 얘기하자,DIGITAL_P채팅,DIGITAL,P
뭔가 이상해요,DIGITAL_P기타faq문의,DIGITAL,P
재입고 알림,DIGITAL_P기타faq문의,DIGITAL,P
좀더 보고 다시 상담 받도록,DIGITAL_P대화종료,DIGITAL,P
이메일로 광고 받고싶지 않아요,DIGITAL_P기타faq문의,DIGITAL,P
프리미엄은 돈내나요,DIGITAL_P기타faq문의,DIGITAL,P
수리 맡기려면 어디로,DIGITAL_Pa/s문의,DIGITAL,P
마일리지 상품교환,DIGITAL_P기타faq문의,DIGITAL,P
최저가격인가요,MART_P할인문의,MART,P
쿠폰을 받았는데요,DIGITAL_P쿠폰적용문의,DIGITAL,P
시간 없어서 다음에,DIGITAL_P대화종료,DIGITAL,P
답변을 일일히 주시는건가요,DIGITAL_P챗봇여부문의,DIGITAL,P
공짜로 사주세요,DIGITAL_P채팅,DIGITAL,P
문의 할라는데 몇시부터,DIGITAL_P상담시간,DIGITAL,P
물건 비싼거에요,DIGITAL_P가격문의,DIGITAL,P
주소지입력이 안되,DIGITAL_P기타faq문의,DIGITAL,P
첫구매혜택이있나요,DIGITAL_P기타faq문의,DIGITAL,P
$다른거로$,DIGITAL_P추가추천,DIGITAL,P
계좌설정,DIGITAL_P결제문의,DIGITAL,P
월요일까지 받아야,DIGITAL_P배송일문의,DIGITAL,P
얼마짜리부터 있을까요,DIGITAL_P가격문의,DIGITAL,P
질문드려요,DIGITAL_P상담요청,DIGITAL,P
일단 알아보고 있는데,DIGITAL_P추천,DIGITAL,P
전단상품,MART_P행사상품,MART,P
정보수정은 어떻게,DIGITAL_P회원정보문의,DIGITAL,P
$뭐하노$,DIGITAL_P채팅,DIGITAL,P
아이큐 몇,DIGITAL_P채팅,DIGITAL,P
쿠폰 다운이 안되요,DIGITAL_P기타faq문의,DIGITAL,P
주문내역 삭제,DIGITAL_P기타faq문의,DIGITAL,P
밥은 먹었,DIGITAL_P채팅,DIGITAL,P
제품 안찾는다고,DIGITAL_P기타faq문의,DIGITAL,P
$첨부터$,DIGITAL_P처음으로,DIGITAL,P
밤에도 문의 가능한가요,DIGITAL_P상담시간,DIGITAL,P
증정품도 함께 주세요,MART_P사은품문의,MART,P
수리 맡기려면 어떻게,DIGITAL_Pa/s문의,DIGITAL,P
반납 처리,DIGITAL_P반품문의,DIGITAL,P
색상변경문의,DIGITAL_P색상변경문의,DIGITAL,P
장바구니 담기지가않,DIGITAL_P찜기능안내,DIGITAL,P
담에문의하겠음,DIGITAL_P대화종료,DIGITAL,P
그냥 잠이나 자,DIGITAL_P채팅,DIGITAL,P
$가격은$,DIGITAL_P가격문의,DIGITAL,P
장보기 쿠폰은 어느,DIGITAL_P쿠폰적용문의,DIGITAL,P
모르는척 하지마,DIGITAL_P채팅,DIGITAL,P
구입한 상품 보여,MART_P지난구매상품보기,MART,P
직접 찾으시는 거에요,DIGITAL_P챗봇여부문의,DIGITAL,P
$다른거 원해$,DIGITAL_P추가추천,DIGITAL,P
적립이 안되고 있네요,DIGITAL_P적립문의,DIGITAL,P
단골몰,DIGITAL_P기타faq문의,DIGITAL,P
금요일까지 받아야,DIGITAL_P배송일문의,DIGITAL,P
쿠폰바코드가 안열려요,DIGITAL_P쿠폰적용문의,DIGITAL,P
반납을 오늘 할 예정,DIGITAL_P반품문의,DIGITAL,P
$있을까요$,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
$전화번호$,DIGITAL_P채팅,DIGITAL,P
제일 싼 가격,MART_P행사상품,MART,P
$다른거요$,DIGITAL_P추가추천,DIGITAL,P
반품 취소,MART_P반품문의,MART,P
여러개 한번에 찾아줘,MART_P다중검색실행,MART,P
새로운 상담을 하고 싶어요,DIGITAL_P새상담,DIGITAL,P
로봇인가요,DIGITAL_P챗봇여부문의,DIGITAL,P
$쿠폰$,DIGITAL_P쿠폰요청,DIGITAL,P
환불관련 문의,DIGITAL_P환불문의,DIGITAL,P
한번에찾기,MART_P다중검색문의,MART,P
제품없잖아요,DIGITAL_P기타faq문의,DIGITAL,P
티머니 사용법,DIGITAL_P기타faq문의,DIGITAL,P
$번호 등록$,DIGITAL_P기타faq문의,DIGITAL,P
불량품이 왔어요,DIGITAL_P교환문의,DIGITAL,P
드라마 재밌지,DIGITAL_P채팅,DIGITAL,P
리뷰 평점 알려줘,DIGITAL_P리뷰평점문의,DIGITAL,P
할인 금액 제일 크게 적용해,DIGITAL_P할인문의,DIGITAL,P
교환 보류라고 나와 있는데,DIGITAL_P교환문의,DIGITAL,P
금액 차이가 많이나서요,DIGITAL_P가격차이,DIGITAL,P
주문취소 하라는 연락을 받았는데 어떻게 하나요,DIGITAL_P주문취소,DIGITAL,P
실례했습니다,DIGITAL_Papologize,DIGITAL,P
푸시 보내지말라고,DIGITAL_P알림설정문의_P기타faq문의,DIGITAL,P
